	Individual ID	Mutation Type	Total	Shared Count	Shared	FFPE Only Count	FFPE Only
0	H134753	SNVs	86066	2990	0.034740780331373594	83076	0.9652592196686264
1	H135022	SNVs	1533442	3911	0.002550471423112188	1529531	0.9974495285768878
2	H135387	SNVs	44287	3592	0.08110732269063156	40695	0.9188926773093684
3	H156407	SNVs	53963	5945	0.11016807812760596	48018	0.889831921872394
4	H158273	SNVs	66052	3094	0.046841882153454854	62958	0.9531581178465451
5	H158878	SNVs	269219	1748	0.006492855259101327	267471	0.9935071447408986
6	H158880	SNVs	20613	1537	0.07456459515839518	19076	0.9254354048416048
7	H158918	SNVs	225368	321	0.0014243370842355614	225047	0.9985756629157644
8	H159369	SNVs	37696	3419	0.09069927843803056	34277	0.9093007215619694
9	H135462	SNVs	361240	30630	0.08479127449894806	330610	0.9152087255010519
10	H201536	SNVs	1501102	8939	0.005954958423877925	1492163	0.9940450415761221
11	H201537	SNVs	2409685	8362	0.0034701631126060044	2401323	0.996529836887394
12	H201538	SNVs	1124115	5560	0.004946113164578357	1118555	0.9950538868354216
13	H201539	SNVs	2015572	9461	0.004693952882854098	2006111	0.9953060471171459
14	H201540	SNVs	1620701	9679	0.005972107131420293	1611022	0.9940278928685797
15	H201542	SNVs	1226608	10300	0.008397140732817656	1216308	0.9916028592671824
16	H203495	SNVs	699032	4998	0.007149887272685657	694034	0.9928501127273144
17	H203498	SNVs	443786	2461	0.005545465607297211	441325	0.9944545343927028
18	H203499	SNVs	66380	43243	0.6514462187405845	23137	0.3485537812594155
19	H203500	SNVs	189372	37323	0.1970882707052785	152049	0.8029117292947215
20	H203501	SNVs	122799	7754	0.06314383667619443	115045	0.9368561633238056
21	H203502	SNVs	24374	9196	0.37728727332403383	15178	0.6227127266759662
22	H203503	SNVs	185163	13598	0.07343799787214508	171565	0.9265620021278549
23	H203504	SNVs	110671	70984	0.6413965718209829	39687	0.3586034281790171
24	H203505	SNVs	78046	1768	0.022653307024062732	76278	0.9773466929759372
25	H203506	SNVs	54151	2395	0.044228176764972024	51756	0.955771823235028
26	H203507	SNVs	95943	9819	0.10234201557174573	86124	0.8976579844282543
27	H203508	SNVs	175767	106846	0.6078843013762538	68921	0.39211569862374623
28	H203511	SNVs	72435	43493	0.6004417753848278	28942	0.3995582246151722
29	H203512	SNVs	194126	6508	0.03352461803158773	187618	0.9664753819684123
30	H203513	SNVs	254674	11873	0.046620385276863754	242801	0.9533796147231363
31	H203514	SNVs	230791	6537	0.028324328071718568	224254	0.9716756719282814
32	H203515	SNVs	47219	10071	0.21328278870793538	37148	0.7867172112920646
33	H203516	SNVs	224479	15250	0.06793508524182663	209229	0.9320649147581733
34	H203517	SNVs	75983	19594	0.2578734716976166	56389	0.7421265283023835
35	H203518	SNVs	74662	3318	0.044440277517344834	71344	0.9555597224826552
36	H203519	SNVs	195396	5824	0.029806137280189972	189572	0.97019386271981
37	H203520	SNVs	192413	11328	0.058873360947545125	181085	0.9411266390524549
38	H203522	SNVs	1489962	7282	0.004887372966558879	1482680	0.9951126270334412
39	H203523	SNVs	35911	9218	0.2566901506502186	26693	0.7433098493497814
40	H203524	SNVs	203988	29443	0.14433692177971252	174545	0.8556630782202874
41	H203525	SNVs	171607	5927	0.03453821813795475	165680	0.9654617818620452
42	H203526	SNVs	1816707	1432945	0.7887595523108569	383762	0.21124044768914305
43	H203527	SNVs	49602	7987	0.16102173299463732	41615	0.8389782670053627
44	H203530	SNVs	61835	5400	0.08732918250181936	56435	0.9126708174981807
45	H203531	SNVs	73899	3902	0.052801797047321346	69997	0.9471982029526786
46	H203532	SNVs	52882	6155	0.11639121061987065	46727	0.8836087893801293
47	H203533	SNVs	18163	4191	0.23074381985354842	13972	0.7692561801464516
48	H203534	SNVs	636644	2060	0.003235717292552824	634584	0.9967642827074472
49	H203535	SNVs	30940	10370	0.33516483516483514	20570	0.6648351648351648
50	H203537	SNVs	69200	9595	0.13865606936416186	59605	0.8613439306358381
51	H203539	SNVs	93931	71333	0.759419148098072	22598	0.24058085190192802
52	H203540	SNVs	148678	5583	0.037550949030791377	143095	0.9624490509692086
53	H203541	SNVs	16423	2342	0.14260488339523839	14081	0.8573951166047616
